trat	amostra	bloco	prod
BG 90 2	1	1	93
CNAi 9920	1	1	95
CNAi 9922	1	1	90
CNAi 9924	1	1	90
CNAi 9926	1	1	84
CNAi 9928	1	1	94
CNAi 9930	1	1	95
CNAi 9932	1	1	90
CNAi 9934	1	1	92
CNAi 9936	1	1	102
BG 90 2	2	1	95
CNAi 9920	2	1	93
CNAi 9922	2	1	101
CNAi 9924	2	1	94
CNAi 9926	2	1	93
CNAi 9928	2	1	95
CNAi 9930	2	1	90
CNAi 9932	2	1	97
CNAi 9934	2	1	95
CNAi 9936	2	1	97
BG 90 2	3	1	96
CNAi 9920	3	1	89
CNAi 9922	3	1	92
CNAi 9924	3	1	99
CNAi 9926	3	1	109
CNAi 9928	3	1	93
CNAi 9930	3	1	95
CNAi 9932	3	1	93
CNAi 9934	3	1	91
CNAi 9936	3	1	93
BG 90 2	4	1	98
CNAi 9920	4	1	91
CNAi 9922	4	1	102
CNAi 9924	4	1	92
CNAi 9926	4	1	95
CNAi 9928	4	1	100
CNAi 9930	4	1	92
CNAi 9932	4	1	100
CNAi 9934	4	1	95
CNAi 9936	4	1	98
BG 90 2	5	1	100
CNAi 9920	5	1	93
CNAi 9922	5	1	103
CNAi 9924	5	1	95
CNAi 9926	5	1	94
CNAi 9928	5	1	93
CNAi 9930	5	1	92
CNAi 9932	5	1	102
CNAi 9934	5	1	95
CNAi 9936	5	1	97
BG 90 2	1	2	95
CNAi 9920	1	2	94
CNAi 9922	1	2	95
CNAi 9924	1	2	96
CNAi 9926	1	2	109
CNAi 9928	1	2	100
CNAi 9930	1	2	99
CNAi 9932	1	2	95
CNAi 9934	1	2	95
CNAi 9936	1	2	95
BG 90 2	2	2	99
CNAi 9920	2	2	94
CNAi 9922	2	2	96
CNAi 9924	2	2	100
CNAi 9926	2	2	99
CNAi 9928	2	2	105
CNAi 9930	2	2	100
CNAi 9932	2	2	95
CNAi 9934	2	2	101
CNAi 9936	2	2	97
BG 90 2	3	2	90
CNAi 9920	3	2	90
CNAi 9922	3	2	90
CNAi 9924	3	2	100
CNAi 9926	3	2	89
CNAi 9928	3	2	97
CNAi 9930	3	2	101
CNAi 9932	3	2	95
CNAi 9934	3	2	98
CNAi 9936	3	2	98
BG 90 2	4	2	92
CNAi 9920	4	2	86
CNAi 9922	4	2	96
CNAi 9924	4	2	100
CNAi 9926	4	2	95
CNAi 9928	4	2	100
CNAi 9930	4	2	102
CNAi 9932	4	2	94
CNAi 9934	4	2	94
CNAi 9936	4	2	105
BG 90 2	5	2	98
CNAi 9920	5	2	90
CNAi 9922	5	2	97
CNAi 9924	5	2	103
CNAi 9926	5	2	98
CNAi 9928	5	2	100
CNAi 9930	5	2	97
CNAi 9932	5	2	95
CNAi 9934	5	2	100
CNAi 9936	5	2	100
BG 90 2	1	3	100
CNAi 9920	1	3	98
CNAi 9922	1	3	93
CNAi 9924	1	3	99
CNAi 9926	1	3	99
CNAi 9928	1	3	97
CNAi 9930	1	3	92
CNAi 9932	1	3	98
CNAi 9934	1	3	92
CNAi 9936	1	3	94
BG 90 2	2	3	106
CNAi 9920	2	3	90
CNAi 9922	2	3	95
CNAi 9924	2	3	98
CNAi 9926	2	3	95
CNAi 9928	2	3	97
CNAi 9930	2	3	93
CNAi 9932	2	3	96
CNAi 9934	2	3	93
CNAi 9936	2	3	94
BG 90 2	3	3	98
CNAi 9920	3	3	85
CNAi 9922	3	3	100
CNAi 9924	3	3	99
CNAi 9926	3	3	100
CNAi 9928	3	3	95
CNAi 9930	3	3	91
CNAi 9932	3	3	97
CNAi 9934	3	3	95
CNAi 9936	3	3	99
BG 90 2	4	3	100
CNAi 9920	4	3	90
CNAi 9922	4	3	95
CNAi 9924	4	3	97
CNAi 9926	4	3	95
CNAi 9928	4	3	94
CNAi 9930	4	3	91
CNAi 9932	4	3	100
CNAi 9934	4	3	98
CNAi 9936	4	3	97
BG 90 2	5	3	105
CNAi 9920	5	3	82
CNAi 9922	5	3	94
CNAi 9924	5	3	94
CNAi 9926	5	3	85
CNAi 9928	5	3	92
CNAi 9930	5	3	92
CNAi 9932	5	3	97
CNAi 9934	5	3	92
CNAi 9936	5	3	97
BG 90 2	1	4	95
CNAi 9920	1	4	93
CNAi 9922	1	4	90
CNAi 9924	1	4	93
CNAi 9926	1	4	90
CNAi 9928	1	4	97
CNAi 9930	1	4	94
CNAi 9932	1	4	93
CNAi 9934	1	4	96
CNAi 9936	1	4	95
BG 90 2	2	4	92
CNAi 9920	2	4	90
CNAi 9922	2	4	90
CNAi 9924	2	4	89
CNAi 9926	2	4	99
CNAi 9928	2	4	93
CNAi 9930	2	4	85
CNAi 9932	2	4	90
CNAi 9934	2	4	90
CNAi 9936	2	4	99
BG 90 2	3	4	94
CNAi 9920	3	4	90
CNAi 9922	3	4	90
CNAi 9924	3	4	95
CNAi 9926	3	4	95
CNAi 9928	3	4	90
CNAi 9930	3	4	90
CNAi 9932	3	4	94
CNAi 9934	3	4	86
CNAi 9936	3	4	96
BG 90 2	4	4	89
CNAi 9920	4	4	90
CNAi 9922	4	4	90
CNAi 9924	4	4	95
CNAi 9926	4	4	90
CNAi 9928	4	4	92
CNAi 9930	4	4	102
CNAi 9932	4	4	99
CNAi 9934	4	4	95
CNAi 9936	4	4	93
BG 90 2	5	4	94
CNAi 9920	5	4	78
CNAi 9922	5	4	95
CNAi 9924	5	4	105
CNAi 9926	5	4	100
CNAi 9928	5	4	85
CNAi 9930	5	4	102
CNAi 9932	5	4	99
CNAi 9934	5	4	90
CNAi 9936	5	4	94
